reference,project_name,country,date_online,decommission_date,status,technology,product,end_use,announced_size,capacity_normalized,capacity_zerocarbon,refs,latitude
Ref,Project name,Country,,Decomission date,Status,Technology,Product,EndUse_Refining,Announced Size,Capacity_MWel,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],References,Location
2258,Lhyfe - Schaeffler Group plant in Herzogenaurach,DEU,2026.0,,Feasibility study,Other Electrolysis,H2,,15MW,15,3333.3333333333335,[1944],Herzogenaurach
2259,Sungas first green methanol facility,USA,2026.0,,Feasibility study,Other Electrolysis,MeOH,,390kt MeOH/y,430.6845274742189,95707.67277204865,[1945],Random location in the US
2260,Barataria - pHYnix,ESP,2027.0,,Feasibility study,Other Electrolysis,H2,,70MW,70,15555.555555555557,[1946],Alcázar de San Juan
2261,RDSF - Metacon MoU,POL,2026.0,,Feasibility study,Other Electrolysis,H2,,5MW,5,1111.111111111111,[1947],Katowice
2262,Bradford Low Carbon Hydrogen,GBR,2027.0,,Feasibility study,Other Electrolysis,H2,,24.5 MW,24.5,5444.444444444445,[1948],Bradford
2265,H2 Production Plant at High Marnham,GBR,2028.0,,Feasibility study,Other Electrolysis,H2,,,0,0,[1948],Marnham
2266,HyBont,GBR,2026.0,,Feasibility study,Other Electrolysis,H2,,5.2MW,5.2,1155.5555555555557,[1948],Brynmenyn
2267,Quill 2,GBR,2030.0,,Feasibility study,Other Electrolysis,H2,,8 MW,8,1777.7777777777778,[1948],Random location in NW England
2268,West South Wales Hydrogen Project,GBR,2026.0,,Feasibility study,Other Electrolysis,H2,,20MW,20,4444.444444444444,[1948] [2175],Milford Haven
2269,Suntory Hakushu Distillery and Suntory Minami Alps Hakushu Water Plant,JPN,2025.0,,FID/Construction,Other Electrolysis,H2,,16MW,16,3555.5555555555557,[1950][3041],Yamanashi 
2270,Biomass-to-Hydrogen project,KOR,,,Concept,Biomass,H2,,,,0,[1951],
2271,Jorf Hydrogen Platform JH2P,MAR,2027.0,,Feasibility study,Other Electrolysis,Ammonia,,100kt NH3/y production - 150MW,120,26666.666666666668,[1952][2928][2929],Jorf-El Jadida
2272,Methanol Plant - Puglia,ITA,,,Feasibility study,Other Electrolysis,MeOH,,,0,0,[1953],Random palce in Puglia
2273,Hydrogen Utopia waste-to-plastic plant,EST,,,Concept,Biomass,H2,,,,0,[1954],Random place in Estonia
2274,Hydrogen from Biomass,FRA,,,Concept,Biomass,H2,,225 t H2/y production,,288.5947360320148,[1955],"Villabé, Essone, Île-de-France, France"
2275,Hydrogen Micro Hub,KOR,2026.0,,Concept,SOEC,H2,,,0,0,[1956],Seoul
2276,Navarra hydrogen project,ESP,,,DEMO,Other Electrolysis,H2,,400kW,0.4,88.8888888888889,[1957],Random place in Navarra
2277,Indaver,IRL,2026.0,,Feasibility study,Other Electrolysis,H2,,10MW,10,2222.222222222222,[1958],Indaver Waste-to-Energy plant
2278,Bord Na Mona & BOC hydrogen project,IRL,2026.0,,Feasibility study,Other Electrolysis,H2,,2MW,2,444.44444444444446,[1959],Mount Lucas
2279,Mercury Renewables H2 Project,IRL,,,Feasibility study,Other Electrolysis,H2,,80MW,80,17777.777777777777,[1960],Mayo
2280,Green Atlantic at Moneypoint project,IRL,2030.0,,Concept,Other Electrolysis,H2,,,0,0,[1961],Moneypoint
